num_loci,selection pressure (sigma),effect size mut(sigma_m),migration rate,mutation rate,rescaled recomb,folder Num,maplength (cM),recombination rate
100,2.5,0.01,0.001,1.00E-05,2.50E-04,1,50,2.50E-07
100,2.5,0.01,0.01,1.00E-05,2.50E-04,2,50,2.50E-07
100,2.5,0.01,0.1,1.00E-05,2.50E-04,3,50,2.50E-07
100,4,0.01,0.001,1.00E-05,2.50E-04,4,50,2.50E-07
100,4,0.01,0.01,1.00E-05,2.50E-04,5,50,2.50E-07
100,4,0.01,0.1,1.00E-05,2.50E-04,6,50,2.50E-07
100,2.5,0.01,0.001,1.00E-05,1.25E-04,7,25,1.25E-07
100,2.5,0.01,0.01,1.00E-05,1.25E-04,8,25,1.25E-07
100,2.5,0.01,0.1,1.00E-05,1.25E-04,9,25,1.25E-07
100,4,0.01,0.001,1.00E-05,1.25E-04,10,25,1.25E-07
100,4,0.01,0.01,1.00E-05,1.25E-04,11,25,1.25E-07
100,4,0.01,0.1,1.00E-05,1.25E-04,12,25,1.25E-07
100,2.5,0.01,0.001,1.00E-05,5.00E-05,13,10,5.00E-08
100,2.5,0.01,0.01,1.00E-05,5.00E-05,14,10,5.00E-08
100,2.5,0.01,0.1,1.00E-05,5.00E-05,15,10,5.00E-08
100,4,0.01,0.001,1.00E-05,5.00E-05,16,10,5.00E-08
100,4,0.01,0.01,1.00E-05,5.00E-05,17,10,5.00E-08
100,4,0.01,0.1,1.00E-05,5.00E-05,18,10,5.00E-08
100,2.5,0.05,0.001,1.00E-05,2.50E-04,19,50,2.50E-07
100,2.5,0.05,0.01,1.00E-05,2.50E-04,20,50,2.50E-07
100,2.5,0.05,0.1,1.00E-05,2.50E-04,21,50,2.50E-07
100,4,0.05,0.001,1.00E-05,2.50E-04,22,50,2.50E-07
100,4,0.05,0.01,1.00E-05,2.50E-04,23,50,2.50E-07
100,4,0.05,0.1,1.00E-05,2.50E-04,24,50,2.50E-07
100,2.5,0.05,0.001,1.00E-05,1.25E-04,25,25,1.25E-07
100,2.5,0.05,0.01,1.00E-05,1.25E-04,26,25,1.25E-07
100,2.5,0.05,0.1,1.00E-05,1.25E-04,27,25,1.25E-07
100,4,0.05,0.001,1.00E-05,1.25E-04,28,25,1.25E-07
100,4,0.05,0.01,1.00E-05,1.25E-04,29,25,1.25E-07
100,4,0.05,0.1,1.00E-05,1.25E-04,30,25,1.25E-07
100,2.5,0.05,0.001,1.00E-05,5.00E-05,31,10,5.00E-08
100,2.5,0.05,0.01,1.00E-05,5.00E-05,32,10,5.00E-08
100,2.5,0.05,0.1,1.00E-05,5.00E-05,33,10,5.00E-08
100,4,0.05,0.001,1.00E-05,5.00E-05,34,10,5.00E-08
100,4,0.05,0.01,1.00E-05,5.00E-05,35,10,5.00E-08
100,4,0.05,0.1,1.00E-05,5.00E-05,36,10,5.00E-08
100,2.5,0.1,0.001,1.00E-05,2.50E-04,37,50,2.50E-07
100,2.5,0.1,0.01,1.00E-05,2.50E-04,38,50,2.50E-07
100,2.5,0.1,0.1,1.00E-05,2.50E-04,39,50,2.50E-07
100,4,0.1,0.001,1.00E-05,2.50E-04,40,50,2.50E-07
100,4,0.1,0.01,1.00E-05,2.50E-04,41,50,2.50E-07
100,4,0.1,0.1,1.00E-05,2.50E-04,42,50,2.50E-07
100,2.5,0.1,0.001,1.00E-05,1.25E-04,43,25,1.25E-07
100,2.5,0.1,0.01,1.00E-05,1.25E-04,44,25,1.25E-07
100,2.5,0.1,0.1,1.00E-05,1.25E-04,45,25,1.25E-07
100,4,0.1,0.001,1.00E-05,1.25E-04,46,25,1.25E-07
100,4,0.1,0.01,1.00E-05,1.25E-04,47,25,1.25E-07
100,4,0.1,0.1,1.00E-05,1.25E-04,48,25,1.25E-07
100,2.5,0.1,0.001,1.00E-05,5.00E-05,49,10,5.00E-08
100,2.5,0.1,0.01,1.00E-05,5.00E-05,50,10,5.00E-08
100,2.5,0.1,0.1,1.00E-05,5.00E-05,51,10,5.00E-08
100,4,0.1,0.001,1.00E-05,5.00E-05,52,10,5.00E-08
100,4,0.1,0.01,1.00E-05,5.00E-05,53,10,5.00E-08
100,4,0.1,0.1,1.00E-05,5.00E-05,54,10,5.00E-08